"key","message","language"
"Administration","Администрация","ru"
"User Management","Управление пользователями","ru"
"Users","Пользователи","ru"
"Groups","Группы","ru"
"Roles","Роли","ru"
"Permissions","Разрешения","ru"
"Model Management","Управление моделями","ru"
"All Models","Все модели","ru"
"Custom Models","Пользовательские модели","ru"
"Custom Fields","Пользовательские поля","ru"
"View Management","Управление представлениями","ru"
"All Views","Все представления","ru"
"All Custom Views","Все пользовательские представления","ru"
"All Menus","Все меню","ru"
"All Actions","Все действия","ru"
"All Selects","Все выборки","ru"
"Action Menus","Меню действий","ru"
"All Translations","Все переводы","ru"
"View Attributes","Атрибуты представления","ru"
"All Charts","Все диаграммы","ru"
"Help Management","Управление справкой","ru"
"View Help","Справка по представлению","ru"
"Menu Help","Справка по меню","ru"
"Module Management","Управление модулями","ru"
"All Modules","Все модули","ru"
"Theme Management","Управление темами","ru"
"All Themes","Все темы","ru"
"Job Management","Управление задачами","ru"
"All Schedules","Все расписания","ru"
"Teamwork","Командная работа","ru"
"Mail","Почта","ru"
"Tasks","Задачи","ru"
"Teams","Команды","ru"
"Inbox","Входящие","ru"
"Important","Важное","ru"
"Archived","В архиве","ru"
"Tasks due","Задачи к выполнению","ru"
"Tasks todo","Задачи на выполнение","ru"
"My open tasks","Мои открытые задачи","ru"
"Tasks assigned to me","Задачи, назначенные мне","ru"
"Tasks created by me","Задачи, созданные мной","ru"
"All Teams","Все команды","ru"
"My Teams","Мои команды","ru"
"Documents","Документы","ru"
"All Documents","Все документы","ru"
"My Documents","Мои документы","ru"
"Configuration","Конфигурация","ru"
"Tags","Метки","ru"
"Team","Команда","ru"
"Task date","Дата задачи","ru"
"Priority","Приоритет","ru"
"File name","Имя файла","ru"
"New","Новый","ru"
"DMS.Home","Главная страница DMS","ru"
"Last modified","Последнее изменение","ru"
"Style","Стиль","ru"
"Login","Логин","ru"
"Email","Электронная почта","ru"
"Language","Язык","ru"
"Group","Группа","ru"
"Navigation","Навигация","ru"
"Object","Объект","ru"
"Read","Чтение","ru"
"Write","Запись","ru"
"Create","Создание","ru"
"Remove","Удаление","ru"
"Export","Экспорт","ru"
"Title","Название","ru"
"Model","Модель","ru"
"Model field","Поле модели","ru"
"Package","Пакет","ru"
"Table","Таблица","ru"
"Action","Действие","ru"
"Left menu","Левое меню","ru"
"Mobile menu","Мобильное меню","ru"
"Hidden menu","Скрытое меню","ru"
"Key","Ключ","ru"
"View","Представление","ru"
"Condition","Условие","ru"
"Version","Версия","ru"
"Label","Метка","ru"
"Available for users","Доступно для пользователей","ru"
"Job","Задача","ru"
"Cron","Cron","ru"
"Active","Активный","ru"
"Module","Модуль","ru"
"Shared","Общий","ru"
"Parent","Родительский","ru"
"Hidden","Скрытый","ru"
"Category","Категория","ru"
"Preferences","Настройки","ru"
"User preferences","Пользовательские настройки","ru"
"Language","Язык","ru"
"Dark","Тёмная","ru"
"Auto","Авто","ru"
"Light","Светлая","ru"
"Change password?","Изменить пароль?","ru"
"Current password","Текущий пароль","ru"
"New password","Новый пароль","ru"
"Confirm new password","Подтвердите новый пароль","ru"
"Administrator","Администратор","ru"
"Shortcuts","Горячие клавиши","ru"
"About","О программе","ru"
"Log out","Выйти","ru"
"Administrator","Администратор","ru"
"Theme","Тема","ru"
"Single tab","Одна вкладка","ru"
"No help","Без справки","ru"
"OK","ОК","ru"
"Close","Закрыть","ru"
