"key","message","comment","context"
"Access Credentials","Кирүү маалыматтары",,
"Access Right","Кирүү укугу",,
"Access Rights","Кирүү укуктары",,
"Access rights","Кирүү укуктары",,
"Activate On","Иштетүү күнү",,"Күйгүзүү же активдештирүү күнү"
"Address","Дарек",,
"Admin","Администратор",,
"Administration","Администрация",,"Башкаруу, администрация"
"All Apartments","Бардык батирлер",,
"All Residents","Бардык жашоочулар",,
"All address","Бардык даректер",,
"Apartment","Батир",,
"Apartment Number","Батир номуру",,
"Apartments","Батирлер",,
"Blocked","Бөгөттөлгөн",,"Колдонуучу же кирүү бөгөттөлгөн"
"Builder","Куруучу",,
"Building","Имарат",,
"Building Name","Имараттын аты",,
"Card Number","Картанын номуру",,
"Change password?","Сырсөздү өзгөртүү?",,
"Choice","Тандоо",,
"Confirm Password","Сырсөздү ырастоо",,
"Confirm new password","Жаңы сырсөздү ырастоо",,
"Confirm new password of the user (must be identical to the new password)","Колдонуучунун жаңы сырсөзүн ырастоо (жаңы сырсөзгө дал келиши керек)",,
"Confirm password","Сырсөздү ырастоо",,
"Courier","Жеткирүүчү",,
"Current password","Учурдагы сырсөз",,
"Current password of the user","Колдонуучунун учурдагы сырсөзү",,
"Custom Access","Ыңгайлаштырылган кирүү",,
"Debt Status","Карыз абалы",,
"Device","Түзмөк",,
"Device Type","Түзмөктүн түрү",,
"Devices","Түзмөктөр",,
"Email","Электрондук почта",,
"Employee","Кызматкер",,
"Empty Access","Бош кирүү",,
"Entrance","Кире бериш",,
"Entrance Number","Кире бериш номуру",,
"Entrance number","Кире бериш номуру",,
"Entrances","Кире бериштер",,
"Expires On","Бүтөт",,"Жарактуулук мөөнөтү бүтө турган күн"
"FirmWare","Программалык камсыздоо",,
"Full Access","Толук кирүү",,
"Full Name","Толук аты-жөнү",,
"Full Name is required","Толук аты-жөнү талап кылынат",,
"Geo result","Географиялык натыйжа",,
"Guest","Конок",,
"Host","Жетектөөчү",,
"House number","Үйдүн номери",,
"IP Address","IP дарек",,
"Ip address","IP дарек",,
"Is Active","Активдүү",,
"Last Update Date","Акыркы жаңыртуу күнү",,
"Last password update date","Сырсөздү акыркы жаңыртуу күнү",,
"Latitude","Кеңдик",,
"Load Detailed Information","Толук маалыматты жүктөө",,
"Localization","Локалдаштыруу",,
"Login","Кирүү",,
"Longitude","Узундук",,
"Main Information","Негизги маалымат",,
"Management RC","ТК башкаруу",,"Турак комплексин башкаруу"
"Map","Карта",,
"Model","Модель",,
"My Profile","Менин профилим",,
"Name","Аты-жөнү",,
"Name of the RC","ТК аты",,"Турак комплексинин аты"
"New Password","Жаңы сырсөз",,
"New password","Жаңы сырсөз",,
"New password of the user","Колдонуучунун жаңы сырсөзү",,
"Number","Номер",,
"Number Apartment","Батир номери",,
"Number of debtors","Карызкорлордун саны",,
"Old Password","Эски сырсөз",,
"Partner","Өнөктөш",,
"Partner Type","Өнөктөштүн түрү",,
"Password","Сырсөз",,
"Password Management","Сырсөздү башкаруу",,
"Permission Name","Уруксаттын аты",,
"Permission Type","Уруксаттын түрү",,
"Phone","Телефон",,
"Pin Code","PIN код",,
"Pin Code is required","PIN код талап кылынат",,
"Port","Порт",,
"Protocol","Протокол",,
"Resident","Турак",,
"Residents","Жашоочулар",,
"Road","Жол",,
"Role","Роль",,
"Role name","Ролдун аты",,
"Save","Сактоо",,
"Security","Коопсуздук",,
"Select Apartment","Батирди тандаңыз",,
"Select Device","Түзмөктү тандаңыз",,
"Select Entrance","Кире беришти тандаңыз",,
"Select Permission","Уруксатты тандаңыз",,
"Serial Number","Сериялык номер",,
"Service","Кызмат",,
"Status","Абал",,
"Status and Access","Абал жана кирүү",,
"Synchronization Details","Синхрондоштуруунун чоо-жайы",,
"Time Zone","Убакыт алкагы",,
"Total amount of debt","Карыздын жалпы суммасы",,
"Type","Түр",,
"User","Колдонуучу",,
"User name","Колдонуучунун аты",,
"User preferences","Колдонуучунун жөндөөлөрү",,
"Users","Колдонуучулар",,
"Users list","Колдонуучулардын тизмеси",,
"Uuid","UUID",,
"Valid Form","Жарактуу башталышы",,
"Valid Until","Жарактуулугу бүткөнгө чейин",,
"View map","Картаны көрүү",,
"Your password","Сиздин сырсөзүңүз",,
"active","активдүү",,
"barrier","шлагбаум",,
"confirm new password","жаңы сырсөздү ырастоо",,
"confirm password","сырсөздү ырастоо",,
"current password","учурдагы сырсөз",,
"door","эшик",,
"expired","жараксыз",,
"gate","дарбаза",,
"inactive","активдүү эмес",,
"intercom","интерком",,
"lift","лифт",,
"new password","жаңы сырсөз",,
"Number of apartments","Батирлердин саны",,
"parking","унаа токтотуучу жай",,
"turnstile","айланма эшик",,
"user.password.pattern-title","Сырсөз жок дегенде 8 символдон, баш жана кичине тамгалардан, сандардан жана атайын белгилерден турушу керек",,
"your password","сиздин сырсөзүңүз",,
