"key","message","language"
"Administration","Администрация","kg"
"User Management","Колдонуучуларды башкаруу","kg"
"Users","Колдонуучулар","kg"
"Groups","Топтор","kg"
"Roles","Ролдор","kg"
"Permissions","Уруксаттар","kg"
"Model Management","Моделдерди башкаруу","kg"
"All Models","Бардык моделдер","kg"
"Custom Models","Ыңгайлаштырылган моделдер","kg"
"Custom Fields","Ыңгайлаштырылган талаалар","kg"
"View Management","Көрүнүштөрдү башкаруу","kg"
"All Views","Бардык көрүнүштөр","kg"
"All Custom Views","Бардык ыңгайлаштырылган көрүнүштөр","kg"
"All Menus","Бардык менюлар","kg"
"All Actions","Бардык аракеттер","kg"
"All Selects","Бардык тандоолор","kg"
"Action Menus","Аракет менюлары","kg"
"All Translations","Бардык котормолор","kg"
"View Attributes","Көрүнүштүн атрибуттары","kg"
"All Charts","Бардык диаграммалар","kg"
"Help Management","Жардамды башкаруу","kg"
"View Help","Көрүнүш жөнүндө жардам","kg"
"Menu Help","Меню жөнүндө жардам","kg"
"Module Management","Модулдарды башкаруу","kg"
"All Modules","Бардык модулдар","kg"
"Theme Management","Темаларды башкаруу","kg"
"All Themes","Бардык темалар","kg"
"Job Management","Милдеттерди башкаруу","kg"
"All Schedules","Бардык графиктер","kg"
"Teamwork","Командалык иш","kg"
"Mail","Почта","kg"
"Tasks","Тапшырмалар","kg"
"Teams","Командалар","kg"
"Inbox","Кирген каттар","kg"
"Important","Маанилүү","kg"
"Archived","Архивделген","kg"
"Tasks due","Мөөнөтү өткөн тапшырмалар","kg"
"Tasks todo","Аткарыла турган тапшырмалар","kg"
"My open tasks","Менин ачык тапшырмалар","kg"
"Tasks assigned to me","Мага ыйгарылган тапшырмалар","kg"
"Tasks created by me","Менин түзгөн тапшырмалар","kg"
"All Teams","Бардык командалар","kg"
"My Teams","Менин командаларым","kg"
"Documents","Документтер","kg"
"All Documents","Бардык документтер","kg"
"My Documents","Менин документтерим","kg"
"Configuration","Конфигурация","kg"
"Tags","Тегдер","kg"
"Team","Команда","kg"
"Task date","Тапшырманын датасы","kg"
"Priority","Приоритет","kg"
"File name","Файлдын аты","kg"
"New","Жаңы","kg"
"DMS.Home","DMS башкы бети","kg"
"Last modified","Акыркы өзгөртүү","kg"
"Style","Стиль","kg"
"Login","Кирүү","kg"
"Email","Электрондук почта","kg"
"Language","Тил","kg"
"Group","Топ","kg"
"Navigation","Навигация","kg"
"Object","Объект","kg"
"Read","Окуу","kg"
"Write","Жазуу","kg"
"Create","Түзүү","kg"
"Remove","Өчүрүү","kg"
"Export","Экспорттоо","kg"
"Title","Аталыш","kg"
"Model","Модель","kg"
"Model field","Модель талаасы","kg"
"Package","Пакет","kg"
"Table","Таблица","kg"
"Action","Аракет","kg"
"Left menu","Сол меню","kg"
"Mobile menu","Мобилдик меню","kg"
"Hidden menu","Жашырылган меню","kg"
"Key","Ачкыч","kg"
"View","Көрүнүш","kg"
"Condition","Шарт","kg"
"Version","Версия","kg"
"Label","Белги","kg"
"Available for users","Колдонуучулар үчүн жеткиликтүү","kg"
"Job","Милдет","kg"
"Cron","Cron","kg"
"Active","Активдүү","kg"
"Module","Модуль","kg"
"Shared","Бөлүшкөн","kg"
"Parent","Ата-эне","kg"
"Hidden","Жашырылган","kg"
"Category","Категория","kg"
"Preferences","Ырастоолор","kg"
"User preferences","Колдонуучунун ырастоолору","kg"
"Language","Тил","kg"
"Dark","Караңгы","kg"
"Auto","Автоматтык","kg"
"Light","Жарык","kg"
"Change password","Сырсөздү өзгөртүү?","kg"
"Current password","Учурдагы сырсөз","kg"
"New password","Жаңы сырсөз","kg"
"Confirm new password","Жаңы сырсөздү ырастаңыз","kg"
"Administrator","Администратор","kg"
"Shortcuts","Тезирек жолдор","kg"
"About","Жөнүндө","kg"
"Log out","Чыгуу","kg"
"Administrator","Администратор","kg"
"Theme","Тема","kg"
"Single tab","Жалгыз өтмөк","kg"
"No help","Жардамсыз","kg"
"OK","Макул","kg"
"Close","Жабуу","kg"
